source,target,weight
incremental_progress_reward,button_press_right_reward,0.0004118346
spout_bucket_reward,goal_rot_reward,0.00041180794
simultaneity_reward,right_hand_press_reward,0.00041155826
spilling_penalty,bucket_handle_reward,0.00041130462
distance_reward,vertical_reward,0.00041073532
lift_reward,task_reward,0.00041064745
vel_penalty,finger_grasp_reward,0.0004106255
vel_object_another_reward,rotation_penalty,0.00040979902
hand_balance_reward,success_object_another_reward,0.0004097478
right_switch_reward,finger_grasp_reward,0.0004097356
fingertip_another_object_reward,goal_pos_reward,0.00040943094
door_open_reward,cap_opening_reward,0.00040938615
left_hand_press_reward,fingertip_object_reward,0.00040927774
spill_penalty,object_goal_reward,0.00040923955
distance_object_reward,finger_grasp_reward,0.00040923903
success_object_reward,place_reward,0.00040744117
alignment_reward,orientation_reward,0.0004065791
vel_object_reward,finger_grasp_reward,0.00040631992
lift_reward,right_handle_reward,0.00040589602
stability_penalty,hand_switch_bonus,0.00040577655
velocity_reward,hand_balance_reward,0.00040560367
vel_penalty,goal_align_reward,0.00040532675
press_reward,vel_object_reward,0.00040522052
press_reward,vel_object_another_reward,0.00040522052
transfer_reward,orientation_reward,0.00040514595
right_fingers_press_reward,right_fingers_reward,0.000405115
cap_distance_reward,bottle_vel_reward,0.0004050435
cap_orientation_reward,distance_object_another_reward,0.0004050175
vertical_alignment,penalty_object,0.00040486123
success_reward,vertical_reward,0.00040467354
goal_rot_reward,cap_up_reward,0.0004041437
goal_rot_reward,penalty_object,0.00040403428
door_rotation_reward,orientation_reward,0.00040396897
scissors_opening_reward,hand_to_handle_reward,0.0004038768
velocity_reward,height_reward,0.00040387164
cap_distance_reward,right_switch_reward,0.00040344507
orientation_reward,door_angular_movement_reward,0.00040304623
vel_penalty,penalty_object,0.0004030113
left_hand_press_reward,bottle_vel_reward,0.0004029997
spilling_penalty,contact_reward,0.00040282693
button_press_left_reward,object_to_goal_reward,0.00040272658
distance_to_switch_left_reward,door_angular_movement_reward,0.00040257638
transfer_reward,lift_reward,0.00040234745
cap_goal_reward,vertical_reward,0.00040226805
finger_coord_reward,left_hand_press_reward,0.00040220612
object_pos_reward,distance_object_reward,0.0004021117
left_fingers_press_reward,direction_reward,0.00040207134
force_reward,finger_grasp_reward,0.00040181715
open_reward,goal_rot_reward,0.00040166383
vel_object_another_reward,grasp_quality,0.00040159258
alignment_reward,cap_distance_reward,0.0004015134
swing_velocity_reward,vertical_reward,0.00040129633
handle_distance_reward,pos_reward,0.00040111592
placement_reward,direction_reward,0.00040064176
kettle_handle_reward,pos_reward,0.0004003136
penalty_object,left_hand_press_reward,0.00040003977
fingertip_object_reward,left_hand_press_reward,0.00039987912
fingertip_another_object_reward,goal_rot_reward,0.00039961273
scissors_opening_reward,alignment_reward,0.0003992798
task_success,grasp_quality,0.00039925738
smooth_reward,success_reward,0.00039904995
button_press_reward,door_close_reward,0.0003988262
door_rotation_reward,angvel_reward,0.00039874585
grasp_quality,goal_rot_reward,0.0003986805
spout_bucket_reward,vertical_reward,0.00039867288
task_completion_bonus,object_push_reward,0.00039829337
rotation_penalty,swing_velocity_reward,0.0003977559
cap_opening_reward,direction_reward,0.00039744496
rotation_penalty,bottle_vel_reward,0.00039740265
press_reward,direction_reward,0.0003972047
vel_penalty,goal_reward,0.00039693576
distance_reward,rotation_reward,0.0003968615
object_to_goal_reward,cap_distance_reward,0.0003966542
scissors_opening_reward,direction_reward,0.00039636012
kettle_holding_reward,hand_dist_reward,0.00039630933
linvel_reward,finger_distance_reward,0.00039625278
right_hand_reach_reward,finger_coord_reward,0.00039591093
door_angular_movement_reward,finger_grasp_reward,0.00039584466
kettle_spout_goal_reward,distance_object_reward,0.0003951348
success_object_another_reward,fingertip_object_reward,0.0003950941
penalty_drop_object_another,place_reward,0.00039486433
right_fingers_reward,lift_reward,0.00039479244
distance_object_another_reward,stack_bonus,0.00039470266
