score,r_alignment_reward,w_alignment_reward,active_alignment_reward,r_goal_reward,w_goal_reward,active_goal_reward,r_handle_another_object_reward,w_handle_another_object_reward,active_handle_another_object_reward,r_handle_object_reward,w_handle_object_reward,active_handle_object_reward,r_hold_another_object_reward,w_hold_another_object_reward,active_hold_another_object_reward,r_hold_object_reward,w_hold_object_reward,active_hold_object_reward,r_object_velocity_reward,w_object_velocity_reward,active_object_velocity_reward,r_pour_alignment_reward,w_pour_alignment_reward,active_pour_alignment_reward,r_pour_reward,w_pour_reward,active_pour_reward,r_spill_penalty,w_spill_penalty,active_spill_penalty,r_tilt_reward,w_tilt_reward,active_tilt_reward,r_transfer_reward,w_transfer_reward,active_transfer_reward,r_velocity_reward,w_velocity_reward,active_velocity_reward,env_id,seed
0.0022,,0.1,1,,0.05,1,,0.1,1,,0.1,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.1,1,shadow_hand_kettle,42
0.0013,,0.05,1,,0.1,1,,0.1,1,,0.1,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.01,1,shadow_hand_kettle,42
0.0045,,0.05,1,,0.1,1,,0.1,1,,0.1,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.1,1,shadow_hand_kettle,42
0.0039,,0.05,1,,0.05,1,,0.1,1,,0.1,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.01,1,shadow_hand_kettle,42
0.0226,,0.05,1,,0.05,1,,0.1,1,,0.1,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.1,1,shadow_hand_kettle,42
0.0028,,0.1,1,,0.1,1,,0.1,1,,0.05,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.01,1,shadow_hand_kettle,42
0.0016,,0.1,1,,0.1,1,,0.1,1,,0.05,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.1,1,shadow_hand_kettle,42
0.0015,,0.1,1,,0.05,1,,0.1,1,,0.05,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.01,1,shadow_hand_kettle,42
0.0034,,0.1,1,,0.05,1,,0.1,1,,0.05,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.1,1,shadow_hand_kettle,42
0.001,,0.05,1,,0.1,1,,0.1,1,,0.05,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.01,1,shadow_hand_kettle,42
0.0054,,0.05,1,,0.1,1,,0.1,1,,0.05,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.1,1,shadow_hand_kettle,42
0.0034,,0.05,1,,0.05,1,,0.1,1,,0.05,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.01,1,shadow_hand_kettle,42
0.0005,,0.05,1,,0.05,1,,0.1,1,,0.05,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.1,1,shadow_hand_kettle,42
0.007,,0.1,1,,0.1,1,,0.05,1,,0.5,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.01,1,shadow_hand_kettle,42
0.0061,,0.1,1,,0.1,1,,0.05,1,,0.5,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.1,1,shadow_hand_kettle,42
0.0084,,0.1,1,,0.05,1,,0.05,1,,0.5,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.01,1,shadow_hand_kettle,42
