score,r_alignment_reward,w_alignment_reward,active_alignment_reward,r_approach_reward,w_approach_reward,active_approach_reward,r_contact_reward,w_contact_reward,active_contact_reward,r_grasp_reward,w_grasp_reward,active_grasp_reward,r_height_reward,w_height_reward,active_height_reward,r_lift_reward,w_lift_reward,active_lift_reward,r_stability_reward,w_stability_reward,active_stability_reward,r_stack_bonus,w_stack_bonus,active_stack_bonus,r_stack_reward,w_stack_reward,active_stack_reward,r_success_reward,w_success_reward,active_success_reward,r_vertical_alignment,w_vertical_alignment,active_vertical_alignment,r_vertical_reward,w_vertical_reward,active_vertical_reward,env_id,seed
0.1499,,0.1,1,,0.1,1,,0.1,1,,0.01,1,,0,0,,0.1,1,,0,0,,0,0,,0.1,1,,0,0,,0,0,,0,0,shadow_hand_block_stack,42
0.269,,0.05,1,,0.2,1,,0.05,1,,0.01,1,,0,0,,0.1,1,,0,0,,0,0,,0.1,1,,0,0,,0,0,,0,0,shadow_hand_block_stack,42
0.4639,,0.05,1,,0.1,1,,0.05,1,,0.01,1,,0,0,,0.1,1,,0,0,,0,0,,0.1,1,,0,0,,0,0,,0,0,shadow_hand_block_stack,42
0.1372,,0.1,1,,0.2,1,,0.1,1,,0.05,1,,0,0,,0.2,1,,0,0,,0,0,,0.05,1,,0,0,,0,0,,0,0,shadow_hand_block_stack,42
0.1001,,0.1,1,,0.1,1,,0.1,1,,0.05,1,,0,0,,0.2,1,,0,0,,0,0,,0.05,1,,0,0,,0,0,,0,0,shadow_hand_block_stack,42
0.0596,,0.05,1,,0.2,1,,0.05,1,,0.05,1,,0,0,,0.2,1,,0,0,,0,0,,0.05,1,,0,0,,0,0,,0,0,shadow_hand_block_stack,42
0.436,,0.05,1,,0.1,1,,0.05,1,,0.05,1,,0,0,,0.2,1,,0,0,,0,0,,0.05,1,,0,0,,0,0,,0,0,shadow_hand_block_stack,42
0.0698,,0.1,1,,0.2,1,,0.1,1,,0.05,1,,0,0,,0.1,1,,0,0,,0,0,,0.05,1,,0,0,,0,0,,0,0,shadow_hand_block_stack,42
0.0737,,0.1,1,,0.1,1,,0.1,1,,0.05,1,,0,0,,0.1,1,,0,0,,0,0,,0.05,1,,0,0,,0,0,,0,0,shadow_hand_block_stack,42
0.0488,,0.05,1,,0.2,1,,0.05,1,,0.05,1,,0,0,,0.1,1,,0,0,,0,0,,0.05,1,,0,0,,0,0,,0,0,shadow_hand_block_stack,42
0.1934,,0.05,1,,0.1,1,,0.05,1,,0.05,1,,0,0,,0.1,1,,0,0,,0,0,,0.05,1,,0,0,,0,0,,0,0,shadow_hand_block_stack,42
0.1079,,0.1,1,,0.3,1,,0.05,1,,0.02,1,,0,0,,0,0,,0,0,,0,0,,0.1,1,,0,0,,0,0,,0.05,1,shadow_hand_block_stack,42
0.7051,,0.05,1,,0.3,1,,0.05,1,,0.02,1,,0,0,,0,0,,0,0,,0,0,,0.1,1,,0,0,,0,0,,0.05,1,shadow_hand_block_stack,42
0.2007,,0.1,1,,0.1,1,,0.05,1,,0.02,1,,0,0,,0,0,,0,0,,0,0,,0.1,1,,0,0,,0,0,,0.05,1,shadow_hand_block_stack,42
