[hold_object_reward, 1, grasp_reward, 2, rotation_reward, 0.2, goal_reward, 2, stability_reward, 1, 0.2192]
[hold_object_reward, 1, grasp_reward, 2, rotation_reward, 1, goal_reward, 0.3, stability_reward, 0.1, 0.209]0_10
[hold_object_reward, 1, grasp_reward, 2, rotation_reward, 1, goal_reward, 0.3, stability_reward, 1, 0.2886]
[hold_object_reward, 1, grasp_reward, 2, rotation_reward, 1, goal_reward, 2, stability_reward, 0.1, 0.2168]
[hold_object_reward, 1, grasp_reward, 2, rotation_reward, 1, goal_reward, 2, stability_reward, 1, 0.248]

[hold_object_reward, 0.3, grasp_reward, 0.3, rotation_reward, 0.5, height_reward, 0.2, stability_penalty, 0.1, 0.2676]1_1
[hold_object_reward, 0.3, grasp_reward, 0.3, rotation_reward, 0.5, height_reward, 0.2, stability_penalty, 1, 0.6021]
[hold_object_reward, 0.3, grasp_reward, 0.3, rotation_reward, 0.5, height_reward, 1, stability_penalty, 0.1, 0.2617]
[hold_object_reward, 0.3, grasp_reward, 0.3, rotation_reward, 0.5, height_reward, 1, stability_penalty, 1, 0.1934]
[hold_object_reward, 0.3, grasp_reward, 0.3, rotation_reward, 1, height_reward, 0.2, stability_penalty, 0.1, 0.2734]1_1
[hold_object_reward, 0.3, grasp_reward, 0.3, rotation_reward, 1, height_reward, 0.2, stability_penalty, 1, 0.2744]
[hold_object_reward, 0.3, grasp_reward, 0.3, rotation_reward, 1, height_reward, 1, stability_penalty, 0.1, 0.2109]
[hold_object_reward, 0.3, grasp_reward, 0.3, rotation_reward, 1, height_reward, 1, stability_penalty, 1, 0.0688]
[hold_object_reward, 0.3, grasp_reward, 1, rotation_reward, 0.5, height_reward, 0.2, stability_penalty, 0.1, 0.2935]1_1
[hold_object_reward, 0.3, grasp_reward, 1, rotation_reward, 0.5, height_reward, 0.2, stability_penalty, 1, 0.4229]
[hold_object_reward, 0.3, grasp_reward, 1, rotation_reward, 0.5, height_reward, 1, stability_penalty, 0.1, 0.2603]
[hold_object_reward, 0.3, grasp_reward, 1, rotation_reward, 0.5, height_reward, 1, stability_penalty, 1, 0.5239]
[hold_object_reward, 0.3, grasp_reward, 1, rotation_reward, 1, height_reward, 0.2, stability_penalty, 0.1, 0.2744]1_1
[hold_object_reward, 0.3, grasp_reward, 1, rotation_reward, 1, height_reward, 0.2, stability_penalty, 1, 0.2651]
[hold_object_reward, 0.3, grasp_reward, 1, rotation_reward, 1, height_reward, 5, stability_penalty, 0.1, 0.1772]
[hold_object_reward, 0.3, grasp_reward, 1, rotation_reward, 1, height_reward, 5, stability_penalty, 1, 0.2441]
[hold_object_reward, 1, grasp_reward, 0.3, rotation_reward, 0.5, height_reward, 0.2, stability_penalty, 0.1, 0.1431]1_1
[hold_object_reward, 1, grasp_reward, 0.3, rotation_reward, 0.5, height_reward, 0.2, stability_penalty, 1, 0.2417]
[hold_object_reward, 1, grasp_reward, 0.3, rotation_reward, 0.5, height_reward, 1, stability_penalty, 0.1, 0.333]
[hold_object_reward, 1, grasp_reward, 0.3, rotation_reward, 0.5, height_reward, 1, stability_penalty, 1, 0.3706]
[hold_object_reward, 1, grasp_reward, 0.3, rotation_reward, 5, height_reward, 0.2, stability_penalty, 0.1, 0.2676]1_1
[hold_object_reward, 1, grasp_reward, 0.3, rotation_reward, 5, height_reward, 0.2, stability_penalty, 1, 0.165]
[hold_object_reward, 1, grasp_reward, 0.3, rotation_reward, 5, height_reward, 1, stability_penalty, 0.1, 0.3081]
[hold_object_reward, 1, grasp_reward, 0.3, rotation_reward, 5, height_reward, 1, stability_penalty, 1, 0.0259]
[hold_object_reward, 1, grasp_reward, 5, rotation_reward, 0.5, height_reward, 0.2, stability_penalty, 0.1, 0.2998]1_1
[hold_object_reward, 1, grasp_reward, 5, rotation_reward, 0.5, height_reward, 0.2, stability_penalty, 1, 0.1831]
[hold_object_reward, 1, grasp_reward, 5, rotation_reward, 0.5, height_reward, 1, stability_penalty, 0.1, 0.3232]
[hold_object_reward, 1, grasp_reward, 5, rotation_reward, 0.5, height_reward, 1, stability_penalty, 1, 0.189]
[hold_object_reward, 1, grasp_reward, 5, rotation_reward, 1, height_reward, 0.2, stability_penalty, 0.1, 0.2729]1_1
[hold_object_reward, 1, grasp_reward, 5, rotation_reward, 1, height_reward, 0.2, stability_penalty, 1, 0.4155]
[hold_object_reward, 1, grasp_reward, 5, rotation_reward, 1, height_reward, 1, stability_penalty, 0.1, 0.2222]
[hold_object_reward, 1, grasp_reward, 5, rotation_reward, 1, height_reward, 1, stability_penalty, 1, 0.4019]

[hold_object_reward, 0.2, grasp_reward, 0.3, rotation_reward, 0.3, goal_reward, 0.3, success_reward, 0.5, 0.3154]1_2
[hold_object_reward, 0.2, grasp_reward, 0.3, rotation_reward, 0.3, goal_reward, 0.3, success_reward, 1, 0.3032]
