[position_reward, 30, height_reward, 16, throw_reward, 10, orientation_reward, 20, handover_reward, 5, stability_reward, 1, progress_reward, 5, contact_penalty, 5, 0.9285]
[position_reward, 30, height_reward, 16, throw_reward, 10, orientation_reward, 20, handover_reward, 20, stability_reward, 10, progress_reward, 2, contact_penalty, 1, 0.9383]2_8
[position_reward, 30, height_reward, 16, throw_reward, 10, orientation_reward, 20, handover_reward, 20, stability_reward, 10, progress_reward, 1, contact_penalty, 0.5, 0.9316]
[position_reward, 30, height_reward, 16, throw_reward, 10, orientation_reward, 20, handover_reward, 20, stability_reward, 10, progress_reward, 5, contact_penalty, 5, 0.9226]

[position_reward, 20, height_reward, 3, throw_reward, 8, orientation_reward, 15, proximity_reward, 25, stability_reward, 10, completion_bonus, 25, contact_penalty, 5, 0.9403]2_7
[position_reward, 20, height_reward, 3, throw_reward, 8, orientation_reward, 15, proximity_reward, 25, stability_reward, 10, completion_bonus, 15, contact_penalty, 1, 0.9553]
[position_reward, 20, height_reward, 3, throw_reward, 8, orientation_reward, 15, proximity_reward, 25, stability_reward, 10, completion_bonus, 50, contact_penalty, 10, 0.9497]
[position_reward, 20, height_reward, 3, throw_reward, 8, orientation_reward, 15, proximity_reward, 15, stability_reward, 5, completion_bonus, 25, contact_penalty, 5, 0.9435]2_7
[position_reward, 20, height_reward, 3, throw_reward, 8, orientation_reward, 15, proximity_reward, 15, stability_reward, 5, completion_bonus, 15, contact_penalty, 1, 0.9422]
[position_reward, 20, height_reward, 3, throw_reward, 8, orientation_reward, 15, proximity_reward, 15, stability_reward, 5, completion_bonus, 50, contact_penalty, 10, 0.9544]
[position_reward, 20, height_reward, 3, throw_reward, 8, orientation_reward, 15, proximity_reward, 50, stability_reward, 20, completion_bonus, 25, contact_penalty, 5, 0.9392]2_7
[position_reward, 20, height_reward, 3, throw_reward, 8, orientation_reward, 15, proximity_reward, 50, stability_reward, 20, completion_bonus, 15, contact_penalty, 1, 0.9461]
[position_reward, 20, height_reward, 3, throw_reward, 8, orientation_reward, 15, proximity_reward, 50, stability_reward, 20, completion_bonus, 50, contact_penalty, 10, 0.9449]
[position_reward, 20, height_reward, 3, throw_reward, 1, orientation_reward, 5, proximity_reward, 25, stability_reward, 10, completion_bonus, 25, contact_penalty, 5, 0.0047]2_7
[position_reward, 20, height_reward, 3, throw_reward, 1, orientation_reward, 5, proximity_reward, 25, stability_reward, 10, completion_bonus, 15, contact_penalty, 1, 0.0026]
