[approach_reward, 5, contact_reward, 5, alignment_reward, 1, angular_velocity_reward, 0.1, grasp_reward, 3, success_bonus, 0.5, 0.0391]
[approach_reward, 5, contact_reward, 5, alignment_reward, 1, angular_velocity_reward, 0.1, grasp_reward, 3, success_bonus, 5, 0.286]
[approach_reward, 5, contact_reward, 5, alignment_reward, 1, angular_velocity_reward, 0.1, grasp_reward, 1, success_bonus, 1, 0.1681]1_2
[approach_reward, 5, contact_reward, 5, alignment_reward, 1, angular_velocity_reward, 0.1, grasp_reward, 1, success_bonus, 0.5, 0.0255]
[approach_reward, 5, contact_reward, 5, alignment_reward, 1, angular_velocity_reward, 0.1, grasp_reward, 1, success_bonus, 5, 0.2144]
[approach_reward, 5, contact_reward, 5, alignment_reward, 1, angular_velocity_reward, 0.1, grasp_reward, 10, success_bonus, 1, 0.1643]1_2
[approach_reward, 5, contact_reward, 5, alignment_reward, 1, angular_velocity_reward, 0.1, grasp_reward, 10, success_bonus, 0.5, 0.057]
[approach_reward, 5, contact_reward, 5, alignment_reward, 1, angular_velocity_reward, 0.1, grasp_reward, 10, success_bonus, 5, 0.48]
[approach_reward, 1, contact_reward, 1, alignment_reward, 5, angular_velocity_reward, 1, grasp_reward, 3, success_bonus, 1, 0.2957]1_2
[approach_reward, 1, contact_reward, 1, alignment_reward, 5, angular_velocity_reward, 1, grasp_reward, 3, success_bonus, 0.5, 0.0471]
[approach_reward, 1, contact_reward, 1, alignment_reward, 5, angular_velocity_reward, 1, grasp_reward, 3, success_bonus, 5, 0.6281]
[approach_reward, 1, contact_reward, 1, alignment_reward, 5, angular_velocity_reward, 1, grasp_reward, 1, success_bonus, 1, 0.2471]1_2
[approach_reward, 1, contact_reward, 1, alignment_reward, 5, angular_velocity_reward, 1, grasp_reward, 1, success_bonus, 0.5, 0.5827]
[approach_reward, 1, contact_reward, 1, alignment_reward, 5, angular_velocity_reward, 1, grasp_reward, 1, success_bonus, 5, 0.0176]
[approach_reward, 1, contact_reward, 1, alignment_reward, 5, angular_velocity_reward, 1, grasp_reward, 10, success_bonus, 1, 0.1645]1_2
[approach_reward, 1, contact_reward, 1, alignment_reward, 5, angular_velocity_reward, 1, grasp_reward, 10, success_bonus, 0.5, 0.4481]
[approach_reward, 1, contact_reward, 1, alignment_reward, 5, angular_velocity_reward, 1, grasp_reward, 10, success_bonus, 5, 0.1298]
[approach_reward, 10, contact_reward, 10, alignment_reward, 2, angular_velocity_reward, 0.5, grasp_reward, 3, success_bonus, 1, 0.0642]1_2
[approach_reward, 10, contact_reward, 10, alignment_reward, 2, angular_velocity_reward, 0.5, grasp_reward, 3, success_bonus, 0.5, 0.2869]
[approach_reward, 10, contact_reward, 10, alignment_reward, 2, angular_velocity_reward, 0.5, grasp_reward, 3, success_bonus, 5, 0.1542]
[approach_reward, 10, contact_reward, 10, alignment_reward, 2, angular_velocity_reward, 0.5, grasp_reward, 1, success_bonus, 1, 0.301]1_2
[approach_reward, 10, contact_reward, 10, alignment_reward, 2, angular_velocity_reward, 0.5, grasp_reward, 1, success_bonus, 0.5, 0.0706]
